2020-04-12 15:35:12.667629,[SensorTarget(xPosCm=-9.02644405217596, yPosCm=-5.804824457725166, zPosCm=86.44837147874252, amplitude=0.007116367663742693), SensorTarget(xPosCm=-49.077259275209, yPosCm=-158.62019547370642, zPosCm=91.5794125556555, amplitude=0.0013943619767226997), SensorTarget(xPosCm=33.60788555354983, yPosCm=108.62239364403312, zPosCm=62.713168210404035, amplitude=0.0011145345016790056)],Stand
2020-04-12 15:35:12.736695,[SensorTarget(xPosCm=-13.430987544451591, yPosCm=-9.063590101561513, zPosCm=87.06740362611403, amplitude=0.007441021442415915), SensorTarget(xPosCm=24.783205392993775, yPosCm=99.79496679504277, zPosCm=57.616650942887716, amplitude=0.0017967196461274692), SensorTarget(xPosCm=-24.310087587144533, yPosCm=-162.21234789245986, zPosCm=93.65334272159295, amplitude=0.0015661342326948582)],Stand
2020-04-12 15:35:12.804760,[SensorTarget(xPosCm=-12.723428786727634, yPosCm=-8.230837464590985, zPosCm=87.47356258477205, amplitude=0.00820836039220016), SensorTarget(xPosCm=24.545289420827398, yPosCm=99.23028193994374, zPosCm=57.29062998978899, amplitude=0.0019044132532262566), SensorTarget(xPosCm=-49.16867189400463, yPosCm=-158.91564570210684, zPosCm=91.7499908245546, amplitude=0.0013705484536506466)],Stand
2020-04-12 15:35:12.872825,[SensorTarget(xPosCm=-7.674340797267119, yPosCm=1.5167387348651018, zPosCm=87.40118933033376, amplitude=0.005933022044513399), SensorTarget(xPosCm=28.972607432242437, yPosCm=-43.06193778140688, zPosCm=99.18250947468343, amplitude=0.003040301687136634), SensorTarget(xPosCm=14.307250700899226, yPosCm=168.19839904647472, zPosCm=97.10939096674632, amplitude=0.0011793185866064604)],Stand
2020-04-12 15:35:12.941892,[SensorTarget(xPosCm=-5.561473632587727, yPosCm=6.570745623731039, zPosCm=87.68105826317213, amplitude=0.005373036461291871), SensorTarget(xPosCm=50.382086626436084, yPosCm=162.8374637679779, zPosCm=94.014253540598, amplitude=0.0010986416511796953), SensorTarget(xPosCm=-21.021137202114932, yPosCm=-163.1237556724678, zPosCm=94.17954424872205, amplitude=0.001219709666343432)],Stand
2020-04-12 15:35:13.009957,[SensorTarget(xPosCm=1.6767482364786441, yPosCm=7.729109590016645, zPosCm=87.47829456335742, amplitude=0.004004599036373234), SensorTarget(xPosCm=28.596085984413566, yPosCm=-28.094153532590372, zPosCm=102.9578243515149, amplitude=0.003268297701438811), SensorTarget(xPosCm=-48.89370371629539, yPosCm=-152.55486974846158, zPosCm=100.1184021724975, amplitude=0.0013226849212915983)],Stand
2020-04-12 15:35:13.079023,[SensorTarget(xPosCm=-4.636882409515009, yPosCm=13.720447479539693, zPosCm=88.02436551797052, amplitude=0.0038692333037397913), SensorTarget(xPosCm=28.780300715827632, yPosCm=-23.268807063527056, zPosCm=104.85882353754161, amplitude=0.002702042907883454), SensorTarget(xPosCm=-48.7828006121348, yPosCm=-152.9732721020224, zPosCm=98.71667398235769, amplitude=0.0012143015995837723)],Stand
2020-04-12 15:35:13.147089,[SensorTarget(xPosCm=3.9451354975443347, yPosCm=8.418656045689314, zPosCm=88.85428284856864, amplitude=0.003647396581234422), SensorTarget(xPosCm=-24.105486649318035, yPosCm=-24.04787346615264, zPosCm=86.68923418196164, amplitude=0.0033205121645812053), SensorTarget(xPosCm=-8.97754722517977, yPosCm=169.25027651341566, zPosCm=97.71669270543916, amplitude=0.0010448143900033866)],Stand
2020-04-12 15:35:13.215154,[SensorTarget(xPosCm=-0.14522759080301287, yPosCm=10.950378173208238, zPosCm=90.50229635458214, amplitude=0.0042328643953876725), SensorTarget(xPosCm=-51.24617093029911, yPosCm=-70.91017726549211, zPosCm=177.6220051828012, amplitude=0.001641969110943062), SensorTarget(xPosCm=28.652778236068688, yPosCm=-20.548095669575662, zPosCm=104.94082017632297, amplitude=0.003010952983882478)],Stand
2020-04-12 15:35:13.284220,[SensorTarget(xPosCm=-4.698549086138085, yPosCm=16.629851967422297, zPosCm=90.69001977579268, amplitude=0.004911130041233511), SensorTarget(xPosCm=-51.24617093029911, yPosCm=-72.56950838561124, zPosCm=176.95054794391925, amplitude=0.001689485457524351), SensorTarget(xPosCm=28.74607569313045, yPosCm=-20.709424268824367, zPosCm=105.26398993586245, amplitude=0.002868150524654064)],Stand
2020-04-12 15:35:13.353286,[SensorTarget(xPosCm=0.8998744556837727, yPosCm=9.175835834058926, zPosCm=89.28821009093897, amplitude=0.003778919275164057), SensorTarget(xPosCm=-51.24617093029911, yPosCm=-76.73667010585923, zPosCm=175.18365627548448, amplitude=0.001535212818132457), SensorTarget(xPosCm=12.36988394208694, yPosCm=103.21594591712444, zPosCm=59.59175415991367, amplitude=0.0017992610138106567)],Stand
2020-04-12 15:35:13.419350,[SensorTarget(xPosCm=0.28094842983649776, yPosCm=9.028190714533935, zPosCm=89.35623159166508, amplitude=0.004063294936131992), SensorTarget(xPosCm=-35.68653915127042, yPosCm=-155.45933686562864, zPosCm=101.65235324915894, amplitude=0.00136848571735671), SensorTarget(xPosCm=19.017093909968597, yPosCm=102.44448015815584, zPosCm=59.14634819630257, amplitude=0.0016224457121995215)],Stand
