2020-04-12 17:46:31.362647,[SensorTarget(xPosCm=-4.557521979586989, yPosCm=-8.099132388320058, zPosCm=42.813879476873154, amplitude=0.005463392576649715), SensorTarget(xPosCm=10.848927930811898, yPosCm=102.51307091072938, zPosCm=59.18594908576482, amplitude=0.0014327278159820978), SensorTarget(xPosCm=9.83578971821375, yPosCm=-171.26132934922674, zPosCm=98.87777460154923, amplitude=0.001402571996565928)],Fall
2020-04-12 17:46:31.427706,[SensorTarget(xPosCm=-5.601372414887421, yPosCm=-8.617111013074338, zPosCm=43.2541406744621, amplitude=0.005216098633779295), SensorTarget(xPosCm=7.568129699652062, yPosCm=102.52922424240616, zPosCm=59.195275216156716, amplitude=0.0015091623486410827), SensorTarget(xPosCm=-40.204470396749095, yPosCm=-129.9428910136919, zPosCm=75.02256310603326, amplitude=0.0012960893749042117)],Fall
2020-04-12 17:46:31.492765,[SensorTarget(xPosCm=-5.296161737057401, yPosCm=-7.876414151826522, zPosCm=43.536075238350364, amplitude=0.005250980615591327), SensorTarget(xPosCm=10.38307142876154, yPosCm=102.43918988542153, zPosCm=59.143293855915324, amplitude=0.001564862908362905), SensorTarget(xPosCm=-40.22322485546447, yPosCm=-130.0035063771285, zPosCm=75.0575594024304, amplitude=0.001641561288207945)],Fall
2020-04-12 17:46:31.557824,[SensorTarget(xPosCm=-4.953196375589613, yPosCm=-6.238914297518424, zPosCm=43.80011758409698, amplitude=0.004905777446634904), SensorTarget(xPosCm=5.641390276426082, yPosCm=103.0234904139822, zPosCm=59.48063992336746, amplitude=0.0015546649592236646), SensorTarget(xPosCm=-2.6219674611629746, yPosCm=-105.0914364308315, zPosCm=60.67456911286503, amplitude=0.0013227805013377263)],Fall
2020-04-12 17:46:31.622883,[SensorTarget(xPosCm=-4.888485669645114, yPosCm=-3.4625868537653544, zPosCm=44.118265613057, amplitude=0.004396822749469645), SensorTarget(xPosCm=9.76965947529106, yPosCm=103.0235022958679, zPosCm=59.48064678337737, amplitude=0.0014612866148479785), SensorTarget(xPosCm=2.722497111398623, yPosCm=-104.49636932470267, zPosCm=60.331006958955655, amplitude=0.001195958600126598)],Fall
2020-04-12 17:46:31.687942,[SensorTarget(xPosCm=17.23448811645727, yPosCm=-5.144720391900054, zPosCm=64.11390145817597, amplitude=0.00427676692728167), SensorTarget(xPosCm=-9.39932009443536, yPosCm=2.6547619702757346, zPosCm=43.05479981714058, amplitude=0.0036385023256257313), SensorTarget(xPosCm=0.5053770660140425, yPosCm=102.46343807785041, zPosCm=59.15729355634149, amplitude=0.0014575500720162503)],Fall
2020-04-12 17:46:31.755003,[SensorTarget(xPosCm=9.564295621866506, yPosCm=-3.141860376566388, zPosCm=62.083219615246655, amplitude=0.006857943559475055), SensorTarget(xPosCm=-12.062622608182373, yPosCm=169.2941264510225, zPosCm=97.7420094787204, amplitude=0.0012361167305173484), SensorTarget(xPosCm=-16.910769778870552, yPosCm=-103.87847268313708, zPosCm=59.9742641666164, amplitude=0.001162964648449098)],Fall
2020-04-12 17:46:31.820062,[SensorTarget(xPosCm=5.11794807446772, yPosCm=0.11878246333098291, zPosCm=61.906279682056365, amplitude=0.007814138757915041), SensorTarget(xPosCm=-40.099911253688724, yPosCm=-129.60495055092497, zPosCm=74.82745308888468, amplitude=0.00120797684183864), SensorTarget(xPosCm=-13.028384423576837, yPosCm=168.42818919445514, zPosCm=97.24206037053993, amplitude=0.0012553856504815095)],Fall
2020-04-12 17:46:31.886122,[SensorTarget(xPosCm=-1.5374581022125295, yPosCm=2.9989152841373814, zPosCm=61.67869288080444, amplitude=0.008747478705842773), SensorTarget(xPosCm=-51.24617093029911, yPosCm=-80.03803805987853, zPosCm=173.70015091676808, amplitude=0.0023689428154400004), SensorTarget(xPosCm=23.83047090968804, yPosCm=102.76512264225268, zPosCm=59.331471220809505, amplitude=0.0012822241637963374)],Fall
2020-04-12 17:46:31.951181,[SensorTarget(xPosCm=-6.278555922731516, yPosCm=8.753879723984857, zPosCm=60.85005591927101, amplitude=0.007620670406718742), SensorTarget(xPosCm=-40.19627105690674, yPosCm=-129.91639033073292, zPosCm=75.00726292959318, amplitude=0.0014375343713315925), SensorTarget(xPosCm=9.130754247689978, yPosCm=-94.04902301237654, zPosCm=173.99830630579643, amplitude=0.0015886538696169039)],Fall
2020-04-12 17:46:32.016240,[SensorTarget(xPosCm=-5.828296640230192, yPosCm=13.617697111441354, zPosCm=59.45276585076289, amplitude=0.006985697371172052), SensorTarget(xPosCm=-39.764118741059825, yPosCm=-124.25052846444854, zPosCm=81.14723741763487, amplitude=0.001451680149629415), SensorTarget(xPosCm=14.492609101579484, yPosCm=169.04363173607862, zPosCm=97.59738628761698, amplitude=0.0011803797438109998)],Fall
2020-04-12 17:46:32.082300,[SensorTarget(xPosCm=-6.778494923092861, yPosCm=20.744270614685917, zPosCm=57.10622546433808, amplitude=0.0040996396232555465), SensorTarget(xPosCm=-51.24617093029911, yPosCm=-68.16173837703839, zPosCm=178.6947323969085, amplitude=0.0021432137421230077), SensorTarget(xPosCm=17.198051179360395, yPosCm=102.15344651760493, zPosCm=58.978319845587265, amplitude=0.0014460839137420967)],Fall
